"","class","gender","age","school","father_edu_background","mother_edu_background","father_job","mother_job","household_income","school_has_library","library_visit","access_to_computer_lab","extra_mural_class","extra_curricular_activities","extra_curricular_participation","hours_on_curricular_activities","english_score","maths_score","hours_spent_studying","difficulty_understand_maths_eng_sci","subject_found_most_difficult","confidence_in_passing_exam","prepare_exam_with_online_resources","challenge_preparing_for_exam","result"
"16","SS2","Male","18 and above","Public","Primary","Secondary","Engineer","Trader","₦100,000 – ₦300,000","No","Weekly","No","Yes","Yes","Sports","None","39 below","80 - 100","Less than 1 hour","No","Mathematics","Very confident","No","lack of standard social amenity","Yes"
"17","SS2","Male","18 and above","Public","No formal education","University","Tailoring","House Wife","₦100,000 – ₦300,000","No","Daily","Yes","No","Yes","None","1–3 hours","50 - 54","40 - 44","Less than 1 hour","Yes","Mathematics","Not confident","No","Lack of focus","Yes"
"18","SS1","Male","15-17","Public","No formal education","No formal education","Engineer","Teacher","₦30,000 – ₦100,000","Yes","Rarely","Yes","No","No","None","None","40 - 44","39 below","Less than 1 hour","No","Other","Not confident","Yes","Lack of focus","No"
"19","SS1","Male","18 and above","Public","No formal education","Primary","Farmer","Housewife","₦100,000 – ₦300,000","No","Monthly","No","No","No","Sports","None","45 - 49","40 - 44","1–2 hours","Yes","English Language","Somewhat confident","No","The fear of the unknown","No"
"20","SS3","Male","12-14","Public","No formal education","Secondary","Civil Servant","Teacher","₦100,000 – ₦300,000","No","Weekly","No","No","Yes","Debate/Quiz clubs","None","39 below","65 - 69","1–2 hours","No","English Language","Very confident","No","Lack of focus","Yes"
"21","SS2","Male","12-14","Public","No formal education","No formal education","Engineer","House Wife","Below ₦30,000","No","Monthly","No","No","Yes","Science/Math clubs","4–6 hours","39 below","40 - 44","5 hours or more","No","Other","Very confident","No","Lack of focus","No"
"22","SS2","Female","15-17","Private","No formal education","Primary","Engineer","Teacher","₦30,000 – ₦100,000","No","Rarely","Yes","Yes","Yes","None","1–3 hours","60 - 64","60 - 64","5 hours or more","Yes","English Language","Very confident","No","lack of standard social amenity","Yes"
"23","SS1","Female","18 and above","Public","University","Primary","Farmer","House Wife","Above ₦300,000","Yes","Rarely","Yes","No","Yes","Science/Math clubs","1–3 hours","70 - 75","50 - 54","1–2 hours","No","Physics/Chemistry/Biology","Not confident","Yes","lack of standard social amenity","Yes"
"24","SS3","Female","18 and above","Private","No formal education","No formal education","Tailoring","Housewife","50,000 - 100,000","Yes","Rarely","Yes","No","No","Science/Math clubs","7 hours or more","55 - 59","60 - 64","5 hours or more","Yes","Physics/Chemistry/Biology","Very confident","Yes","Lack of funds","Yes"
"25","SS1","Female","15-17","Private","University","Secondary","Civil Servant","Housewife","₦100,000 – ₦300,000","Yes","Daily","No","No","Yes","None","7 hours or more","50 - 54","50 - 54","3–4 hours","No","Physics/Chemistry/Biology","Not confident","Yes","Lack of focus","Yes"
"26","SS3","Female","15-17","Public","University","No formal education","Engineer","Trader","Above ₦300,000","Yes","Monthly","No","Yes","No","Science/Math clubs","7 hours or more","39 below","65 - 69","5 hours or more","Yes","Physics/Chemistry/Biology","Very confident","Yes","Lack of funds","Yes"
"27","SS1","Male","12-14","Public","University","Primary","Civil servant","Teacher","₦30,000 – ₦100,000","No","Never","Yes","Yes","Yes","Debate/Quiz clubs","1–3 hours","70 - 75","40 - 44","1–2 hours","Yes","English Language","Somewhat confident","Yes","lack of standard social amenity","Yes"
"28","SS3","Male","15-17","Private","Secondary","Secondary","Civil Servant","House Wife","Below ₦30,000","No","Monthly","Yes","No","Yes","None","7 hours or more","60 - 64","40 - 44","Less than 1 hour","Yes","Physics/Chemistry/Biology","Very confident","No","Lack of focus","Yes"
"29","SS1","Female","12-14","Private","Primary","Primary","Civil Servant","Trader","50,000 - 100,000","No","Rarely","Yes","No","No","Sports","None","80 - 100","45 - 49","1–2 hours","No","Mathematics","Not confident","Yes","The fear of the unknown","Yes"
"30","SS1","Female","15-17","Public","Primary","Secondary","Civil Servant","Trader","50,000 - 100,000","Yes","Rarely","No","Yes","No","Science/Math clubs","7 hours or more","45 - 49","55 - 59","Less than 1 hour","No","Other","Somewhat confident","No","Lack of proper preparation","Yes"
"31","SS2","Female","15-17","Private","University","Secondary","Farmer","Teacher","Above ₦300,000","Yes","Daily","No","No","Yes","Debate/Quiz clubs","1–3 hours","40 - 44","60 - 64","5 hours or more","Yes","Physics/Chemistry/Biology","Somewhat confident","Yes","Lack of proper preparation","Yes"
"32","SS3","Male","18 and above","Public","Primary","No formal education","Civil servant","Housewife","Above ₦300,000","Yes","Daily","Yes","Yes","Yes","None","7 hours or more","55 - 59","70 - 75","5 hours or more","No","Mathematics","Very confident","No","lack of standard social amenity","Yes"
"33","SS3","Male","12-14","Private","Primary","University","Engineer","Teacher","Below ₦30,000","Yes","Monthly","No","Yes","No","Sports","1–3 hours","45 - 49","65 - 69","Less than 1 hour","Yes","Other","Not confident","No","Lack of proper preparation","Yes"
"34","SS3","Female","12-14","Private","Primary","Primary","Farmer","House Wife","Above ₦300,000","No","Daily","No","No","No","Debate/Quiz clubs","4–6 hours","70 - 75","70 - 75","5 hours or more","Yes","Physics/Chemistry/Biology","Very confident","No","The fear of the unknown","Yes"
"35","SS1","Female","12-14","Public","University","Secondary","Civil servant","Trader","₦100,000 – ₦300,000","No","Monthly","No","Yes","Yes","Sports","None","55 - 59","40 - 44","1–2 hours","Yes","Physics/Chemistry/Biology","Very confident","No","Lack of funds","Yes"
"36","SS3","Male","12-14","Public","No formal education","Primary","Civil Servant","Teacher","Above ₦300,000","No","Rarely","No","No","Yes","Debate/Quiz clubs","4–6 hours","65 - 69","50 - 54","3–4 hours","No","English Language","Not confident","No","lack of standard social amenity","Yes"
"37","SS3","Male","15-17","Private","No formal education","No formal education","Engineer","Housewife","Below ₦30,000","No","Never","No","Yes","Yes","Sports","7 hours or more","65 - 69","80 - 100","1–2 hours","No","Other","Very confident","No","The fear of the unknown","Yes"
"38","SS2","Male","18 and above","Private","Secondary","University","Farmer","Trader","Above ₦300,000","No","Rarely","No","No","Yes","None","7 hours or more","65 - 69","70 - 75","3–4 hours","No","Physics/Chemistry/Biology","Not confident","Yes","Lack of funds","Yes"
"39","SS2","Female","18 and above","Private","University","No formal education","Farmer","Trader","₦30,000 – ₦100,000","Yes","Monthly","Yes","Yes","No","Debate/Quiz clubs","1–3 hours","70 - 75","65 - 69","Less than 1 hour","Yes","English Language","Not confident","Yes","Lack of focus","Yes"
"40","SS1","Female","18 and above","Private","Secondary","Primary","Farmer","Housewife","Below ₦30,000","No","Rarely","No","No","Yes","Debate/Quiz clubs","1–3 hours","39 below","80 - 100","1–2 hours","No","Mathematics","Somewhat confident","Yes","Lack of funds","Yes"
"41","SS3","Female","15-17","Private","Secondary","University","Civil servant","Teacher","Above ₦300,000","No","Never","Yes","Yes","Yes","Science/Math clubs","4–6 hours","39 below","40 - 44","1–2 hours","No","English Language","Somewhat confident","Yes","time management","No"
"42","SS2","Female","18 and above","Private","University","University","Civil Servant","Trader","50,000 - 100,000","Yes","Never","Yes","No","No","Science/Math clubs","7 hours or more","40 - 44","70 - 75","3–4 hours","Yes","Mathematics","Very confident","Yes","Lack of focus","Yes"
"43","SS3","Female","12-14","Private","Secondary","No formal education","Civil servant","Trader","Below ₦30,000","No","Monthly","No","Yes","Yes","Science/Math clubs","1–3 hours","60 - 64","45 - 49","5 hours or more","No","Mathematics","Very confident","Yes","Lack of focus","Yes"
"44","SS1","Male","18 and above","Private","Secondary","University","Civil Servant","Trader","Below ₦30,000","No","Rarely","No","Yes","Yes","Science/Math clubs","4–6 hours","40 - 44","55 - 59","3–4 hours","Yes","Other","Very confident","Yes","Lack of funds","Yes"
"45","SS2","Male","12-14","Public","No formal education","University","Civil Servant","House Wife","Above ₦300,000","Yes","Rarely","No","No","Yes","Debate/Quiz clubs","4–6 hours","39 below","60 - 64","Less than 1 hour","Yes","Other","Somewhat confident","Yes","lack of standard social amenity","Yes"
"46","SS2","Male","15-17","Private","Secondary","No formal education","Engineer","House Wife","₦100,000 – ₦300,000","Yes","Monthly","Yes","Yes","No","Science/Math clubs","7 hours or more","45 - 49","65 - 69","3–4 hours","Yes","Other","Somewhat confident","No","time management","Yes"
"47","SS1","Male","15-17","Private","University","No formal education","Civil servant","Teacher","Below ₦30,000","Yes","Rarely","No","Yes","Yes","Science/Math clubs","None","45 - 49","70 - 75","5 hours or more","Yes","English Language","Somewhat confident","Yes","time management","Yes"
"48","SS3","Male","12-14","Public","No formal education","No formal education","Tailoring","House Wife","50,000 - 100,000","No","Rarely","No","No","Yes","Science/Math clubs","7 hours or more","55 - 59","70 - 75","Less than 1 hour","Yes","Physics/Chemistry/Biology","Very confident","Yes","The fear of the unknown","Yes"
"49","SS1","Female","15-17","Public","Primary","No formal education","Farmer","Trader","₦100,000 – ₦300,000","No","Monthly","Yes","No","Yes","Sports","7 hours or more","55 - 59","70 - 75","Less than 1 hour","Yes","Mathematics","Somewhat confident","Yes","lack of standard social amenity","Yes"
"50","SS1","Female","18 and above","Public","Secondary","Secondary","Engineer","Teacher","Below ₦30,000","No","Daily","No","No","No","None","7 hours or more","60 - 64","45 - 49","3–4 hours","No","Physics/Chemistry/Biology","Not confident","No","Lack of funds","Yes"
"51","SS2","Male","15-17","Public","Primary","No formal education","Tailoring","House Wife","Above ₦300,000","No","Rarely","Yes","No","Yes","Sports","4–6 hours","70 - 75","60 - 64","Less than 1 hour","Yes","Mathematics","Not confident","Yes","Lack of focus","Yes"
"52","SS2","Female","15-17","Private","University","University","Civil Servant","House Wife","Above ₦300,000","No","Rarely","No","No","Yes","Sports","4–6 hours","39 below","50 - 54","Less than 1 hour","No","Other","Somewhat confident","Yes","Lack of funds","Yes"
"53","SS2","Female","12-14","Public","University","University","Tailoring","House Wife","₦100,000 – ₦300,000","No","Monthly","No","No","No","Science/Math clubs","1–3 hours","45 - 49","60 - 64","1–2 hours","Yes","Mathematics","Not confident","Yes","The fear of the unknown","Yes"
"54","SS3","Male","12-14","Public","University","Secondary","Civil Servant","Trader","50,000 - 100,000","Yes","Monthly","Yes","No","Yes","Debate/Quiz clubs","4–6 hours","50 - 54","39 below","Less than 1 hour","Yes","Physics/Chemistry/Biology","Somewhat confident","Yes","lack of standard social amenity","Yes"
"55","SS3","Male","18 and above","Public","No formal education","University","Civil Servant","Housewife","₦30,000 – ₦100,000","Yes","Daily","No","No","Yes","Sports","1–3 hours","45 - 49","39 below","5 hours or more","Yes","Mathematics","Not confident","Yes","Lack of funds","No"
"56","SS1","Female","15-17","Private","Secondary","Secondary","Farmer","Trader","₦100,000 – ₦300,000","No","Rarely","Yes","Yes","Yes","Sports","4–6 hours","39 below","55 - 59","1–2 hours","Yes","English Language","Not confident","Yes","The fear of the unknown","Yes"
"57","SS2","Female","18 and above","Private","Primary","University","Farmer","Teacher","₦100,000 – ₦300,000","No","Daily","Yes","Yes","Yes","Debate/Quiz clubs","1–3 hours","40 - 44","55 - 59","1–2 hours","Yes","English Language","Somewhat confident","Yes","Lack of focus","Yes"
"58","SS3","Female","12-14","Private","University","No formal education","Engineer","Teacher","50,000 - 100,000","No","Monthly","Yes","No","Yes","Sports","1–3 hours","40 - 44","65 - 69","3–4 hours","Yes","Mathematics","Not confident","Yes","Lack of proper preparation","Yes"
"59","SS1","Male","12-14","Public","Secondary","University","Tailoring","Trader","₦30,000 – ₦100,000","No","Monthly","No","Yes","Yes","Sports","4–6 hours","50 - 54","40 - 44","3–4 hours","Yes","Mathematics","Very confident","No","Lack of funds","Yes"
"60","SS2","Male","18 and above","Public","No formal education","University","Engineer","Teacher","₦100,000 – ₦300,000","Yes","Weekly","Yes","Yes","No","None","1–3 hours","60 - 64","65 - 69","3–4 hours","Yes","Physics/Chemistry/Biology","Not confident","No","lack of standard social amenity","Yes"
"61","SS3","Male","18 and above","Private","Secondary","No formal education","Engineer","Trader","₦100,000 – ₦300,000","No","Weekly","No","Yes","No","Debate/Quiz clubs","4–6 hours","55 - 59","45 - 49","Less than 1 hour","No","Physics/Chemistry/Biology","Somewhat confident","Yes","Lack of funds","Yes"
"62","SS3","Male","15-17","Private","University","Primary","Civil servant","Housewife","50,000 - 100,000","Yes","Weekly","Yes","Yes","Yes","Debate/Quiz clubs","7 hours or more","50 - 54","65 - 69","3–4 hours","No","Physics/Chemistry/Biology","Not confident","No","time management","Yes"
"63","SS2","Female","12-14","Private","University","No formal education","Farmer","Trader","₦30,000 – ₦100,000","No","Weekly","Yes","No","Yes","Sports","4–6 hours","40 - 44","65 - 69","5 hours or more","No","Mathematics","Somewhat confident","Yes","Lack of funds","Yes"
"64","SS2","Male","12-14","Private","Primary","Secondary","Engineer","Trader","50,000 - 100,000","Yes","Daily","No","Yes","Yes","Sports","4–6 hours","65 - 69","39 below","5 hours or more","Yes","Mathematics","Somewhat confident","No","lack of standard social amenity","Yes"
"65","SS2","Female","12-14","Public","No formal education","No formal education","Civil servant","House Wife","₦100,000 – ₦300,000","No","Rarely","Yes","Yes","No","Sports","None","80 - 100","60 - 64","3–4 hours","No","English Language","Somewhat confident","No","Lack of funds","Yes"
"66","SS2","Female","15-17","Private","No formal education","No formal education","Tailoring","Trader","50,000 - 100,000","Yes","Monthly","No","No","No","Science/Math clubs","1–3 hours","65 - 69","80 - 100","5 hours or more","No","English Language","Not confident","No","lack of standard social amenity","Yes"
"67","SS1","Female","18 and above","Public","Primary","No formal education","Civil Servant","Teacher","Above ₦300,000","No","Monthly","Yes","No","Yes","Sports","1–3 hours","60 - 64","39 below","3–4 hours","No","Physics/Chemistry/Biology","Not confident","No","Lack of funds","Yes"
"68","SS2","Male","18 and above","Public","No formal education","No formal education","Civil Servant","Trader","₦100,000 – ₦300,000","Yes","Daily","No","No","No","None","7 hours or more","45 - 49","39 below","Less than 1 hour","No","Mathematics","Very confident","No","time management","No"
"69","SS1","Female","15-17","Private","University","Primary","Engineer","Teacher","Above ₦300,000","No","Weekly","No","No","Yes","Sports","4–6 hours","50 - 54","80 - 100","Less than 1 hour","Yes","Physics/Chemistry/Biology","Somewhat confident","Yes","time management","Yes"
"70","SS2","Female","15-17","Public","No formal education","University","Farmer","Trader","Above ₦300,000","Yes","Daily","No","Yes","No","Science/Math clubs","7 hours or more","60 - 64","39 below","5 hours or more","No","English Language","Somewhat confident","No","The fear of the unknown","Yes"
"71","SS3","Male","15-17","Public","Secondary","No formal education","Civil Servant","Teacher","50,000 - 100,000","Yes","Never","Yes","Yes","No","None","1–3 hours","50 - 54","60 - 64","Less than 1 hour","No","Other","Not confident","No","lack of standard social amenity","Yes"
"72","SS1","Female","12-14","Private","Primary","Primary","Tailoring","Trader","Above ₦300,000","No","Daily","No","Yes","No","Sports","4–6 hours","70 - 75","60 - 64","Less than 1 hour","No","Physics/Chemistry/Biology","Very confident","Yes","lack of standard social amenity","Yes"
"73","SS1","Male","15-17","Private","Primary","Primary","Engineer","Teacher","50,000 - 100,000","Yes","Daily","No","No","No","None","None","60 - 64","55 - 59","Less than 1 hour","Yes","English Language","Not confident","Yes","The fear of the unknown","Yes"
"74","SS2","Male","18 and above","Public","Primary","University","Engineer","Trader","₦100,000 – ₦300,000","Yes","Rarely","Yes","Yes","No","Science/Math clubs","4–6 hours","40 - 44","70 - 75","5 hours or more","Yes","Other","Not confident","Yes","lack of standard social amenity","Yes"
"75","SS2","Male","15-17","Public","University","No formal education","Tailoring","Trader","Above ₦300,000","No","Rarely","Yes","Yes","No","Debate/Quiz clubs","4–6 hours","40 - 44","70 - 75","5 hours or more","No","Physics/Chemistry/Biology","Somewhat confident","No","Lack of proper preparation","Yes"
"76","SS2","Male","15-17","Private","University","Primary","Civil Servant","Trader","Above ₦300,000","No","Daily","No","Yes","Yes","Sports","None","60 - 64","80 - 100","Less than 1 hour","Yes","English Language","Somewhat confident","No","Lack of proper preparation","Yes"
"77","SS3","Female","15-17","Public","University","Secondary","Farmer","House Wife","Below ₦30,000","No","Weekly","Yes","Yes","Yes","Science/Math clubs","1–3 hours","40 - 44","50 - 54","1–2 hours","No","English Language","Very confident","No","lack of standard social amenity","Yes"
"78","SS2","Male","15-17","Private","Secondary","No formal education","Civil Servant","Teacher","Above ₦300,000","Yes","Rarely","No","No","Yes","Sports","7 hours or more","40 - 44","40 - 44","1–2 hours","No","Physics/Chemistry/Biology","Not confident","No","Lack of focus","No"
"79","SS2","Male","18 and above","Public","Primary","Secondary","Civil servant","Trader","Below ₦30,000","Yes","Never","No","Yes","No","Sports","7 hours or more","60 - 64","45 - 49","3–4 hours","No","Mathematics","Not confident","No","Lack of funds","Yes"
"80","SS2","Male","15-17","Private","Secondary","Secondary","Civil servant","Trader","₦100,000 – ₦300,000","No","Daily","Yes","No","No","None","4–6 hours","45 - 49","80 - 100","1–2 hours","Yes","English Language","Somewhat confident","Yes","The fear of the unknown","Yes"
"81","SS3","Female","15-17","Private","University","No formal education","Engineer","Trader","Below ₦30,000","No","Weekly","Yes","Yes","Yes","Debate/Quiz clubs","7 hours or more","45 - 49","50 - 54","Less than 1 hour","Yes","Physics/Chemistry/Biology","Somewhat confident","Yes","Lack of proper preparation","Yes"
"82","SS2","Male","15-17","Private","Secondary","Primary","Farmer","Trader","Above ₦300,000","Yes","Never","Yes","Yes","Yes","None","4–6 hours","40 - 44","39 below","Less than 1 hour","No","Other","Not confident","Yes","The fear of the unknown","No"
"83","SS1","Female","15-17","Public","Secondary","University","Civil Servant","Teacher","₦30,000 – ₦100,000","No","Monthly","Yes","Yes","Yes","Debate/Quiz clubs","1–3 hours","65 - 69","45 - 49","1–2 hours","No","Mathematics","Not confident","Yes","Lack of funds","Yes"
"84","SS3","Female","12-14","Public","Secondary","No formal education","Farmer","Teacher","Above ₦300,000","Yes","Rarely","Yes","No","Yes","Science/Math clubs","4–6 hours","50 - 54","70 - 75","1–2 hours","No","English Language","Somewhat confident","No","Lack of proper preparation","Yes"
"85","SS2","Male","12-14","Private","Primary","University","Civil Servant","Housewife","Below ₦30,000","No","Monthly","Yes","No","No","Science/Math clubs","None","55 - 59","80 - 100","Less than 1 hour","Yes","Other","Very confident","Yes","Lack of focus","Yes"
"86","SS3","Female","18 and above","Private","Secondary","Primary","Engineer","Trader","₦30,000 – ₦100,000","Yes","Never","No","No","Yes","None","7 hours or more","50 - 54","39 below","Less than 1 hour","Yes","Mathematics","Not confident","Yes","time management","Yes"
"87","SS2","Female","12-14","Public","No formal education","No formal education","Farmer","Trader","Above ₦300,000","No","Weekly","Yes","Yes","No","Science/Math clubs","None","80 - 100","50 - 54","1–2 hours","Yes","Other","Not confident","No","time management","Yes"
"88","SS3","Male","18 and above","Public","Primary","University","Civil servant","House Wife","50,000 - 100,000","No","Rarely","No","No","No","Sports","4–6 hours","80 - 100","65 - 69","3–4 hours","Yes","Physics/Chemistry/Biology","Very confident","Yes","The fear of the unknown","Yes"
"89","SS3","Female","12-14","Public","Secondary","University","Civil Servant","Housewife","50,000 - 100,000","No","Monthly","Yes","Yes","Yes","Science/Math clubs","4–6 hours","55 - 59","65 - 69","5 hours or more","No","Other","Not confident","No","Lack of funds","Yes"
"90","SS1","Female","12-14","Private","No formal education","Secondary","Tailoring","Housewife","Above ₦300,000","No","Daily","No","No","Yes","Debate/Quiz clubs","1–3 hours","40 - 44","80 - 100","1–2 hours","No","Mathematics","Very confident","No","Lack of funds","Yes"
"91","SS2","Male","15-17","Public","Secondary","Secondary","Civil servant","Trader","50,000 - 100,000","No","Weekly","No","No","Yes","Debate/Quiz clubs","None","40 - 44","80 - 100","1–2 hours","Yes","English Language","Not confident","No","Lack of funds","Yes"
"92","SS2","Female","15-17","Private","No formal education","No formal education","Engineer","Trader","₦100,000 – ₦300,000","Yes","Rarely","No","No","Yes","Science/Math clubs","1–3 hours","55 - 59","65 - 69","Less than 1 hour","Yes","Other","Very confident","No","The fear of the unknown","Yes"
"93","SS2","Female","12-14","Public","University","University","Civil Servant","House Wife","₦100,000 – ₦300,000","Yes","Never","No","Yes","Yes","Sports","None","80 - 100","45 - 49","Less than 1 hour","No","Other","Somewhat confident","No","lack of standard social amenity","Yes"
"94","SS3","Male","15-17","Public","Secondary","No formal education","Civil servant","Teacher","₦100,000 – ₦300,000","No","Monthly","No","Yes","No","Sports","4–6 hours","55 - 59","65 - 69","5 hours or more","No","Other","Not confident","No","Lack of proper preparation","Yes"
"95","SS2","Male","18 and above","Private","Secondary","No formal education","Civil Servant","Housewife","₦100,000 – ₦300,000","Yes","Daily","Yes","No","Yes","Science/Math clubs","4–6 hours","55 - 59","65 - 69","Less than 1 hour","No","Physics/Chemistry/Biology","Somewhat confident","No","Lack of funds","Yes"
"96","SS1","Female","18 and above","Private","University","Secondary","Civil servant","Trader","₦100,000 – ₦300,000","No","Rarely","Yes","No","No","None","1–3 hours","80 - 100","65 - 69","Less than 1 hour","Yes","Physics/Chemistry/Biology","Somewhat confident","No","Lack of proper preparation","Yes"
"97","SS1","Female","18 and above","Private","University","University","Civil servant","Trader","₦30,000 – ₦100,000","Yes","Never","Yes","Yes","Yes","None","4–6 hours","65 - 69","39 below","5 hours or more","No","English Language","Very confident","Yes","lack of standard social amenity","Yes"
"98","SS3","Male","15-17","Public","No formal education","No formal education","Engineer","House Wife","₦30,000 – ₦100,000","No","Weekly","Yes","Yes","Yes","Sports","None","80 - 100","65 - 69","Less than 1 hour","Yes","Physics/Chemistry/Biology","Very confident","Yes","Lack of proper preparation","Yes"
"99","SS3","Male","18 and above","Private","Secondary","No formal education","Civil Servant","House Wife","Above ₦300,000","No","Monthly","No","Yes","No","Debate/Quiz clubs","7 hours or more","70 - 75","80 - 100","5 hours or more","No","Other","Not confident","No","Lack of funds","Yes"
"100","SS1","Female","15-17","Private","No formal education","University","Civil Servant","Housewife","₦30,000 – ₦100,000","Yes","Never","No","No","Yes","Sports","7 hours or more","70 - 75","80 - 100","1–2 hours","Yes","Physics/Chemistry/Biology","Somewhat confident","No","Lack of proper preparation","Yes"
"101","SS1","Female","18 and above","Public","No formal education","No formal education","Farmer","Trader","50,000 - 100,000","Yes","Never","Yes","Yes","Yes","Debate/Quiz clubs","7 hours or more","50 - 54","50 - 54","1–2 hours","No","English Language","Not confident","No","time management","Yes"
"102","SS1","Female","12-14","Private","Primary","No formal education","Farmer","Teacher","50,000 - 100,000","No","Daily","Yes","Yes","Yes","Debate/Quiz clubs","None","60 - 64","39 below","3–4 hours","No","Other","Very confident","Yes","Lack of focus","Yes"
"103","SS2","Male","12-14","Private","University","Secondary","Farmer","Housewife","₦30,000 – ₦100,000","No","Weekly","Yes","Yes","No","Debate/Quiz clubs","7 hours or more","80 - 100","39 below","3–4 hours","Yes","Physics/Chemistry/Biology","Somewhat confident","No","time management","Yes"
"104","SS1","Male","15-17","Private","No formal education","No formal education","Civil servant","House Wife","₦30,000 – ₦100,000","Yes","Rarely","Yes","No","Yes","Debate/Quiz clubs","7 hours or more","60 - 64","55 - 59","1–2 hours","No","Physics/Chemistry/Biology","Very confident","No","Lack of proper preparation","Yes"
"105","SS2","Male","12-14","Public","Primary","Primary","Engineer","Housewife","₦30,000 – ₦100,000","No","Rarely","No","Yes","Yes","Debate/Quiz clubs","4–6 hours","60 - 64","55 - 59","Less than 1 hour","No","Mathematics","Not confident","No","Lack of funds","Yes"
"106","SS1","Female","12-14","Private","Secondary","No formal education","Tailoring","House Wife","₦100,000 – ₦300,000","No","Never","No","Yes","No","None","7 hours or more","40 - 44","70 - 75","1–2 hours","No","Physics/Chemistry/Biology","Very confident","No","The fear of the unknown","Yes"
